"month","day","PROD_ID","QTY_ORDER","REVENUE","Price"
1,1,"P2",339,274136.77,808.663038348083
1,2,"P2",433,354725.09,819.226535796767
1,3,"P2",483,397570.74,823.127826086956
1,4,"P2",588,480139.89,816.56443877551
1,5,"P2",1007,778821.26,773.407408142999
1,6,"P2",829,654737.38,789.791773220748
1,7,"P2",549,439612.16,800.750746812386
2,1,"P2",143,120146.79,840.187342657343
2,2,"P2",177,149600.85,845.202542372881
2,3,"P2",287,238379.28,830.589825783972
2,4,"P2",510,413316.72,810.42494117647
2,5,"P2",440,359942.44,818.051
2,6,"P2",367,302049.54,823.023269754768
2,7,"P2",362,295159.42,815.357513812155
3,1,"P2",468,361313.19,772.036730769231
3,2,"P2",537,420002.15,782.126908752328
3,3,"P2",1645,1193014.31,725.236662613982
3,4,"P2",2121,1515572.26,714.555520980669
3,5,"P2",1093,791994.51,724.606139066789
3,6,"P2",786,576634.34,733.631475826972
3,7,"P2",1149,813337.85,707.865839860748
4,1,"P2",1018,729203.71,716.310127701375
4,2,"P2",1309,931359.5,711.504583651643
4,3,"P2",1897,1334045.08,703.239367422246
4,4,"P2",1518,1082841.71,713.334459815547
4,5,"P2",2429,1709421.81,703.75537669823
4,6,"P2",1272,903016.34,709.918506289308
4,7,"P2",1221,871626.25,713.862612612613
5,1,"P2",269,192989.38,717.432639405204
5,2,"P2",509,379108.33,744.810078585462
5,3,"P2",2408,1585822.58,658.564194352159
5,4,"P2",4009,2615642.88,652.44272387129
5,5,"P2",1525,1020306.07,669.053160655738
5,6,"P2",1152,820399.24,712.152118055556
5,7,"P2",483,345011.67,714.309875776397
6,1,"P2",164,114904.24,700.635609756098
6,2,"P2",1171,773289.18,660.366507258753
6,3,"P2",1554,1016417.15,654.06509009009
6,4,"P2",991,653378.67,659.31248234107
6,5,"P2",1392,912561.61,655.575869252874
6,6,"P2",1216,789387.27,649.167162828947
6,7,"P2",265,181520.08,684.981433962264
7,1,"P2",102,72405.33,709.856176470588
7,2,"P2",278,196980.87,708.56428057554
7,3,"P2",589,397094.85,674.18480475382
7,4,"P2",907,611059.69,673.715203969129
7,5,"P2",838,559186.35,667.286813842482
7,6,"P2",700,473317.65,676.168071428571
7,7,"P2",240,165862.15,691.092291666667
8,1,"P2",229,158336.59,691.42615720524
8,2,"P2",845,541017.82,640.257775147929
8,3,"P2",2131,1288004.52,604.413195682778
8,4,"P2",4227,2542691.43,601.535706174592
8,5,"P2",2374,1452306.5,611.755054759899
8,6,"P2",293,201641.13,688.194982935154
8,7,"P2",403,277729.97,689.156253101737
9,1,"P2",1284,798938.13,622.225957943925
9,2,"P2",1102,685678.68,622.212958257713
9,3,"P2",1881,1163961.25,618.799175970229
9,4,"P2",2147,1312677.08,611.400596180717
9,5,"P2",623,407109.53,653.466340288924
9,6,"P2",857,550546.13,642.410886814469
9,7,"P2",1138,710998.03,624.778585237258
10,1,"P2",38,25308.37,666.009736842105
10,2,"P2",68,45213.84,664.909411764706
10,3,"P2",57,37839.37,663.848596491228
10,4,"P2",60,41248.42,687.473666666667
10,5,"P2",1130,672259.29,594.919725663717
10,6,"P2",1114,666364.06,598.172405745063
10,7,"P2",104,69248.47,665.850673076923
