"DATE_ORDER" "PROD_ID" "QTY_ORDER" "REVENUE" "Price"
2015-03-19 "P9" 1 539.1 539.1
2015-03-20 "P9" 18 10107.52 561.528888888889
2015-03-21 "P9" 7 4163.05 594.721428571429
2015-03-22 "P9" 6 3594 599
2015-03-23 "P9" 7 4073.2 581.885714285714
2015-03-24 "P9" 31 17119.37 552.237741935484
2015-03-25 "P9" 40 21743.7 543.5925
2015-03-26 "P9" 1 599 599
2015-03-27 "P9" 6 3594 599
2015-03-28 "P9" 6 3594 599
2015-03-29 "P9" 4 2396 599
2015-03-30 "P9" 11 6211.02 564.638181818182
2015-03-31 "P9" 3 1797 599
2015-04-01 "P9" 5 2707.44 541.488
2015-04-02 "P9" 23 10218.71 444.291739130435
2015-04-03 "P9" 64 31439.5 491.2421875
2015-04-04 "P9" 33 16267.4 492.951515151515
2015-04-05 "P9" 20 9930.1 496.505
2015-04-06 "P9" 5 2735 547
2015-04-07 "P9" 2 1138.1 569.05
2015-04-08 "P9" 2 1198 599
2015-04-09 "P9" 4 2396 599
2015-04-10 "P9" 5 2905.15 581.03
2015-04-11 "P9" 16 7998.49 499.905625
2015-04-12 "P9" 5 2493.44 498.688
2015-04-13 "P9" 46 22274.53 484.228913043478
2015-04-14 "P9" 65 31681.35 487.405384615385
2015-04-15 "P9" 63 30195.4 479.292063492064
2015-04-16 "P9" 61 30426.21 498.790327868852
2015-04-17 "P9" 29 14379.84 495.856551724138
2015-04-18 "P9" 25 12077.89 483.1156
2015-04-19 "P9" 18 8939.75 496.652777777778
2015-04-20 "P9" 23 11590.86 503.950434782609
2015-04-21 "P9" 24 11801.15 491.714583333333
2015-04-22 "P9" 10 5046.77 504.677
2015-04-23 "P9" 19 9524.6 501.294736842105
2015-04-24 "P9" 10 4962.08 496.208
2015-04-25 "P9" 10 4995.05 499.505
2015-04-26 "P9" 16 8060.93 503.808125
2015-04-27 "P9" 21 10589.38 504.25619047619
2015-04-28 "P9" 20 10289.55 514.4775
2015-04-29 "P9" 6 3228 538
2015-04-30 "P9" 13 6713.1 516.392307692308
2015-05-01 "P9" 6 3211 535.166666666667
2015-05-02 "P9" 9 4842 538
2015-05-03 "P9" 10 5502 550.2
2015-05-04 "P9" 30 15165 505.5
2015-05-05 "P9" 37 18917.84 511.292972972973
2015-05-06 "P9" 22 11281.18 512.780909090909
2015-05-07 "P9" 63 31312.15 497.018253968254
2015-05-08 "P9" 21 10831.35 515.778571428571
2015-05-09 "P9" 34 17143.54 504.221764705882
2015-05-10 "P9" 38 19214.69 505.649736842105
2015-05-11 "P9" 18 9686.7 538.15
2015-05-12 "P9" 43 21216.15 493.398837209302
2015-05-13 "P9" 106 50345.73 474.959716981132
2015-05-14 "P9" 331 152863.04 461.821873111783
2015-05-15 "P9" 185 84867.15 458.741351351351
2015-05-16 "P9" 144 66409.23 461.175208333333
2015-05-17 "P9" 102 46896.79 459.772450980392
2015-05-18 "P9" 44 20811.93 472.998409090909
2015-05-19 "P9" 19 9534.3 501.805263157895
2015-05-20 "P9" 45 22351.74 496.705333333333
2015-05-21 "P9" 18 8976.94 498.718888888889
2015-05-22 "P9" 14 7073 505.214285714286
2015-05-23 "P9" 11 5367.4 487.945454545455
2015-05-24 "P9" 29 13512.21 465.938275862069
2015-05-25 "P9" 64 29873.52 466.77375
2015-05-26 "P9" 154 66996.65 435.043181818182
2015-05-27 "P9" 201 86870.73 432.192686567164
2015-05-28 "P9" 164 70380.38 429.148658536585
2015-05-29 "P9" 95 41805.48 440.057684210526
2015-05-30 "P9" 108 47519.32 439.993703703704
2015-05-31 "P9" 86 38032.04 442.233023255814
2015-06-01 "P9" 65 29202.72 449.272615384615
2015-06-02 "P9" 81 38727.15 478.112962962963
2015-06-03 "P9" 17 8607 506.294117647059
2015-06-04 "P9" 19 9481 499
2015-06-05 "P9" 24 11901.15 495.88125
2015-06-06 "P9" 13 6487 499
2015-06-07 "P9" 25 12425.1 497.004
2015-06-08 "P9" 41 20459 499
2015-06-09 "P9" 13 6411.2 493.169230769231
2015-06-10 "P9" 25 12425.1 497.004
2015-06-11 "P9" 6 3139.9 523.316666666667
2015-06-12 "P9" 6 3138 523
2015-06-13 "P9" 2 1046 523
2015-06-14 "P9" 6 3006 501
2015-06-15 "P9" 61 29156.73 477.979180327869
2015-06-16 "P9" 46 21780.13 473.481086956522
2015-06-17 "P9" 43 20525.15 477.329069767442
2015-06-18 "P9" 34 16223.73 477.168529411765
2015-06-19 "P9" 8 3908 488.5
2015-06-20 "P9" 5 2433 486.6
2015-06-21 "P9" 5 2395 479
2015-06-22 "P9" 6 2950 491.666666666667
2015-06-23 "P9" 4 2039.09 509.7725
2015-06-24 "P9" 6 2960.9 493.483333333333
2015-06-25 "P9" 4 2066 516.5
2015-06-26 "P9" 2 978 489
2015-06-27 "P9" 1 539 539
2015-06-28 "P9" 2 1078 539
2015-06-29 "P9" 1 539 539
2015-06-30 "P9" 4 2056 514
2015-07-01 "P9" 10 5047.29 504.729
2015-07-02 "P9" 12 5854.8 487.9
2015-07-03 "P9" 9 4391 487.888888888889
2015-07-04 "P9" 5 2441.97 488.394
2015-07-05 "P9" 8 3896.98 487.1225
2015-07-06 "P9" 8 3895.84 486.98
2015-07-07 "P9" 5 2393.95 478.79
2015-07-08 "P9" 7 3472.95 496.135714285714
2015-07-09 "P9" 27 12717.86 471.031851851852
2015-07-10 "P9" 20 9292 464.6
2015-07-11 "P9" 16 7329.8 458.1125
2015-07-12 "P9" 8 3655.99 456.99875
2015-07-13 "P9" 18 8098.2 449.9
2015-07-14 "P9" 21 9441.6 449.6
2015-07-15 "P9" 34 15266.89 449.026176470588
2015-07-16 "P9" 21 9426.4 448.87619047619
2015-07-17 "P9" 13 6004.09 461.853076923077
2015-07-18 "P9" 11 4883.99 443.999090909091
2015-07-19 "P9" 13 5771.11 443.931538461538
2015-07-20 "P9" 10 4434.6 443.46
2015-07-21 "P9" 19 8409.76 442.618947368421
2015-07-22 "P9" 34 15027.99 441.999705882353
2015-07-23 "P9" 20 8834.95 441.7475
2015-07-24 "P9" 22 9679.16 439.961818181818
2015-07-25 "P9" 24 10582.19 440.924583333333
2015-07-26 "P9" 14 6145.99 438.999285714286
2015-07-27 "P9" 45 19060.82 423.573777777778
2015-07-28 "P9" 26 11400.67 438.487307692308
2015-07-29 "P9" 18 8097.34 449.852222222222
2015-07-30 "P9" 10 4390 439
2015-07-31 "P9" 4 1755.5 438.875
2015-08-01 "P9" 10 4350 435
2015-08-02 "P9" 20 8700 435
2015-08-03 "P9" 23 10005 435
2015-08-04 "P9" 37 16095 435
2015-08-05 "P9" 27 11723.9 434.218518518519
2015-08-06 "P9" 29 12586 434
2015-08-07 "P9" 46 19846.27 431.440652173913
2015-08-08 "P9" 242 104039.74 429.916280991736
2015-08-09 "P9" 141 60867.8 431.686524822695
2015-08-10 "P9" 158 68011.94 430.455316455696
2015-08-11 "P9" 114 48882.52 428.794035087719
2015-08-12 "P9" 42 18149.88 432.14
2015-08-13 "P9" 34 14742.02 433.588823529412
2015-08-14 "P9" 62 26908 434
2015-08-15 "P9" 42 18177.84 432.805714285714
2015-08-16 "P9" 47 20352.5 433.031914893617
2015-08-17 "P9" 131 56495.05 431.259923664122
2015-08-18 "P9" 759 283425.47 373.419591567852
2015-08-19 "P9" 960 357193.84 372.076916666667
2015-08-20 "P9" 722 271861.46 376.539418282549
2015-08-21 "P9" 901 339806.39 377.143607103219
2015-08-22 "P9" 58 25364.54 437.319655172414
2015-08-23 "P9" 35 15275.1 436.431428571429
2015-08-24 "P9" 224 91239.56 407.319464285714
2015-08-25 "P9" 212 86143.34 406.336509433962
2015-08-26 "P9" 55 22958.46 417.426545454545
2015-08-27 "P9" 107 43210.15 403.833177570093
2015-08-28 "P9" 71 28594.3 402.73661971831
2015-08-29 "P9" 91 36509 401.197802197802
2015-08-30 "P9" 63 25237 400.587301587302
2015-08-31 "P9" 301 112743.54 374.563255813954
2015-09-01 "P9" 758 283943.64 374.595831134565
2015-09-02 "P9" 839 310681.86 370.300190703218
2015-09-03 "P9" 52 23405.8 450.111538461538
2015-09-04 "P9" 44 19351.09 439.7975
2015-09-05 "P9" 42 18059.89 429.997380952381
2015-09-06 "P9" 28 12175.4 434.835714285714
2015-09-07 "P9" 52 22468.05 432.077884615385
2015-09-08 "P9" 42 18172.39 432.675952380952
2015-09-09 "P9" 44 19134.1 434.865909090909
2015-09-10 "P9" 49 21365.1 436.022448979592
2015-09-11 "P9" 47 20501 436.191489361702
2015-09-12 "P9" 47 20369 433.382978723404
2015-09-13 "P9" 34 14920 438.823529411765
2015-09-14 "P9" 65 27945.1 429.924615384615
2015-09-15 "P9" 584 221123.76 378.636575342466
2015-09-16 "P9" 485 183250.29 377.835649484536
2015-09-17 "P9" 149 58248.55 390.929865771812
2015-09-18 "P9" 404 152585.4 377.686633663366
2015-09-19 "P9" 220 83808.5 380.947727272727
2015-09-20 "P9" 541 204739.59 378.446561922366
2015-09-21 "P9" 94 36760.66 391.07085106383
2015-09-22 "P9" 169 67993.17 402.326449704142
