"month","day","PROD_ID","QTY_ORDER","REVENUE","Price"
1,1,"P6",21,39913.8,1900.65714285714
1,2,"P6",41,77884.91,1899.63195121951
1,3,"P6",43,81829.75,1903.01744186047
1,4,"P6",47,91314.6,1942.86382978723
1,5,"P6",37,70280.35,1899.46891891892
1,6,"P6",68,129088.7,1898.36323529412
1,7,"P6",40,75941.16,1898.529
2,1,"P6",11,23333.32,2121.21090909091
2,2,"P6",17,34159.75,2009.39705882353
2,3,"P6",315,532889.92,1691.71403174603
2,4,"P6",380,636626.33,1675.33244736842
2,5,"P6",31,57988.94,1870.61096774194
2,6,"P6",224,384836.37,1718.01950892857
2,7,"P6",34,67932.54,1998.01588235294
3,1,"P6",37,69109.28,1867.81837837838
3,2,"P6",40,72184.64,1804.616
3,3,"P6",112,205035.76,1830.67642857143
3,4,"P6",165,284965.62,1727.06436363636
3,5,"P6",105,184519.7,1757.33047619048
3,6,"P6",80,141730.62,1771.63275
3,7,"P6",41,72754.8,1774.50731707317
4,1,"P6",27,48218.24,1785.86074074074
4,2,"P6",45,80287.1,1784.15777777778
4,3,"P6",51,90981.14,1783.94392156863
4,4,"P6",64,113240,1769.375
4,5,"P6",65,114624.73,1763.45738461538
4,6,"P6",36,63961.26,1776.70166666667
4,7,"P6",32,57640.72,1801.2725
5,1,"P6",18,32436.55,1802.03055555556
5,2,"P6",44,79088.12,1797.45727272727
5,3,"P6",32,57567.75,1798.9921875
5,4,"P6",44,79063.2,1796.89090909091
5,5,"P6",32,57830.19,1807.1934375
5,6,"P6",42,76237.3,1815.17380952381
5,7,"P6",26,47149.65,1813.44807692308
6,1,"P6",22,38933.8,1769.71818181818
6,2,"P6",50,88987.42,1779.7484
6,3,"P6",53,93489.83,1763.95905660377
6,4,"P6",41,72887.03,1777.73243902439
6,5,"P6",32,57089.09,1784.0340625
6,6,"P6",34,60680.36,1784.71647058824
6,7,"P6",29,51286.65,1768.50517241379
7,1,"P6",30,49182.87,1639.429
7,2,"P6",20,33574.71,1678.7355
7,3,"P6",19,32888.13,1730.95421052632
7,4,"P6",30,52098.8,1736.62666666667
7,5,"P6",26,44624.08,1716.31076923077
7,6,"P6",21,36824.99,1753.57095238095
7,7,"P6",23,38470.78,1672.64260869565
8,1,"P6",17,28625.45,1683.85
8,2,"P6",40,64875.7,1621.8925
8,3,"P6",36,61296.81,1702.68916666667
8,4,"P6",32,53466.52,1670.82875
8,5,"P6",21,35278.77,1679.94142857143
8,6,"P6",25,41518.33,1660.7332
8,7,"P6",10,16759.29,1675.929
9,1,"P6",19,28364.86,1492.88736842105
9,2,"P6",51,76000.45,1490.20490196078
9,3,"P6",64,95492.97,1492.07765625
9,4,"P6",458,646045.91,1410.58058951965
9,5,"P6",299,420658.01,1406.88297658863
9,6,"P6",51,77359.77,1516.85823529412
9,7,"P6",35,52314.02,1494.68628571429
10,1,"P6",25,36809.18,1472.3672
10,2,"P6",38,55851.25,1469.76973684211
10,3,"P6",33,48597.33,1472.64636363636
10,4,"P6",19,28117.75,1479.88157894737
10,5,"P6",31,45989,1483.51612903226
10,6,"P6",36,53245.99,1479.05527777778
10,7,"P6",20,29187,1459.35
