"DATE_ORDER" "PROD_ID" "QTY_ORDER" "REVENUE" "Price"
2015-03-30 "P4" 4 2276 569
2015-03-31 "P4" 18 10156.65 564.258333333333
2015-04-01 "P4" 27 15027.28 556.565925925926
2015-04-02 "P4" 22 12461.1 566.413636363636
2015-04-03 "P4" 23 13030.1 566.526086956522
2015-04-04 "P4" 43 24438.55 568.338372093023
2015-04-05 "P4" 39 22162.55 568.270512820513
2015-04-06 "P4" 47 26743 569
2015-04-07 "P4" 44 24979.1 567.706818181818
2015-04-08 "P4" 40 22624.63 565.61575
2015-04-09 "P4" 54 30471.37 564.28462962963
2015-04-10 "P4" 40 22646.2 566.155
2015-04-11 "P4" 75 42618.1 568.241333333333
2015-04-12 "P4" 66 37497.1 568.137878787879
2015-04-13 "P4" 104 58897.2 566.319230769231
2015-04-14 "P4" 93 52865.8 568.449462365591
2015-04-15 "P4" 70 39747.5 567.821428571429
2015-04-16 "P4" 86 48437.32 563.224651162791
2015-04-17 "P4" 59 32836.42 556.549491525424
2015-04-18 "P4" 55 31161 566.563636363636
2015-04-19 "P4" 46 26014.68 565.53652173913
2015-04-20 "P4" 76 43130.2 567.502631578947
2015-04-21 "P4" 65 36797.23 566.111230769231
2015-04-22 "P4" 52 29190.2 561.35
2015-04-23 "P4" 65 36485.06 561.308615384615
2015-04-24 "P4" 73 41315.09 565.960136986301
2015-04-25 "P4" 43 24296.3 565.03023255814
2015-04-26 "P4" 28 15795.44 564.122857142857
2015-04-27 "P4" 50 28157.69 563.1538
2015-04-28 "P4" 86 47126 547.976744186047
2015-04-29 "P4" 76 42984.64 565.587368421053
2015-04-30 "P4" 56 31426.4 561.185714285714
2015-05-01 "P4" 23 12918.55 561.676086956522
2015-05-02 "P4" 75 39155.9 522.078666666667
2015-05-03 "P4" 52 28018.2 538.811538461538
2015-05-04 "P4" 980 484174.35 494.055459183673
2015-05-05 "P4" 79 43267.05 547.68417721519
2015-05-06 "P4" 54 29781.39 551.507222222222
2015-05-07 "P4" 643 321132.89 499.429066874028
2015-05-08 "P4" 341 169905.48 498.256539589443
2015-05-09 "P4" 314 156568.72 498.626496815287
2015-05-10 "P4" 279 139116.14 498.624157706093
2015-05-11 "P4" 20 11302.41 565.1205
2015-05-12 "P4" 63 32101.24 509.543492063492
2015-05-13 "P4" 223 110400.56 495.069775784753
2015-05-14 "P4" 382 184838.38 483.870104712042
2015-05-15 "P4" 473 227123.57 480.176680761099
2015-05-16 "P4" 368 177686.69 482.844266304348
2015-05-17 "P4" 46 22335.24 485.548695652174
2015-05-18 "P4" 12 5703.08 475.256666666667
2015-05-19 "P4" 160 77484.67 484.2791875
2015-05-20 "P4" 232 112335.66 484.205431034483
2015-05-21 "P4" 337 161737.06 479.931928783383
2015-05-22 "P4" 350 168112.52 480.321485714286
2015-05-23 "P4" 295 141606.03 480.020440677966
2015-05-24 "P4" 247 118939.46 481.536275303644
2015-05-25 "P4" 65 34190.31 526.004769230769
2015-05-26 "P4" 198 98633.93 498.151161616162
2015-05-27 "P4" 296 146982.91 496.563885135135
2015-05-28 "P4" 162 81085.82 500.52975308642
2015-05-29 "P4" 30 16338.14 544.604666666667
