"month","day","PROD_ID","QTY_ORDER","REVENUE","Price"
4,1,"P5",24,24237.07,1009.87791666667
4,2,"P5",17,17217.98,1012.82235294118
4,3,"P5",19,19223.59,1011.76789473684
4,4,"P5",15,15074.48,1004.96533333333
4,5,"P5",9,8521.84,946.871111111111
4,6,"P5",10,10166.18,1016.618
4,7,"P5",19,18867.09,993.004736842105
5,1,"P5",17,16560.19,974.128823529412
5,2,"P5",11,10883.24,989.385454545455
5,3,"P5",17,16224.88,954.404705882353
5,4,"P5",17,15783.79,928.458235294118
5,5,"P5",16,14449.85,903.115625
5,6,"P5",27,25082.96,928.998518518518
5,7,"P5",36,34182.91,949.525277777778
6,1,"P5",50,42647.72,852.9544
6,2,"P5",58,49339.55,850.681896551724
6,3,"P5",97,79662.98,821.267835051546
6,4,"P5",61,51614,846.131147540984
6,5,"P5",56,46060.79,822.514107142857
6,6,"P5",70,59718.88,853.126857142857
6,7,"P5",35,29298.52,837.100571428571
7,1,"P5",172,138835.89,807.185406976744
7,2,"P5",604,454672.59,752.769188741722
7,3,"P5",1022,771666.11,755.054902152642
7,4,"P5",900,689723.2,766.359111111111
7,5,"P5",629,477635.85,759.35747217806
7,6,"P5",640,483371.77,755.268390625
7,7,"P5",273,220590.12,808.022417582418
8,1,"P5",62,52255.4,842.829032258065
8,2,"P5",686,517012.04,753.661865889213
8,3,"P5",891,654062.72,734.077126823793
8,4,"P5",1753,1280261.14,730.325807187678
8,5,"P5",856,632124.9,738.463668224299
8,6,"P5",188,153965.44,818.965106382979
8,7,"P5",38,32435.92,853.576842105263
9,1,"P5",466,367265.85,788.124141630901
9,2,"P5",445,350297.58,787.185573033708
9,3,"P5",1621,1220397.31,752.866940160395
9,4,"P5",2163,1607825.72,743.331354600092
9,5,"P5",1492,1125476.16,754.340589812332
9,6,"P5",678,529592.5,781.1098820059
9,7,"P5",527,412775.41,783.25504743833
10,1,"P5",406,300404.69,739.91302955665
10,2,"P5",526,390716.98,742.807946768061
10,3,"P5",274,209625.65,765.057116788321
10,4,"P5",567,425492.18,750.427125220458
10,5,"P5",1116,804168.52,720.581111111111
10,6,"P5",833,604774.03,726.019243697479
10,7,"P5",546,395391.97,724.161117216117
