"month","day","PROD_ID","QTY_ORDER","REVENUE","Price"
3,2,"P4",4,2276,569
3,3,"P4",18,10156.65,564.258333333333
4,1,"P4",179,101469.77,566.870223463687
4,2,"P4",277,156928.09,566.527400722022
4,3,"P4",288,161768.13,561.694895833333
4,4,"P4",265,149574.25,564.431132075472
4,5,"P4",283,159281.25,562.831272084806
4,6,"P4",195,109827.81,563.219538461538
4,7,"P4",216,122513.95,567.194212962963
5,1,"P4",642,318327.04,495.836510903427
5,2,"P4",1077,535370.15,497.093918291551
5,3,"P4",500,251486.89,502.97378
5,4,"P4",805,399500.52,496.273937888199
5,5,"P4",1524,748794.15,491.334744094488
5,6,"P4",1217,594398.26,488.41270336894
5,7,"P4",1063,521091.41,490.208287864534
6,1,"P4",247,123928.37,501.734291497976
6,2,"P4",320,162832.97,508.85303125
6,3,"P4",322,163299.19,507.140341614907
6,4,"P4",271,139289.86,513.984723247232
6,5,"P4",201,102365.81,509.28263681592
6,6,"P4",269,135119.91,502.304498141264
6,7,"P4",280,138636.79,495.131392857143
7,1,"P4",24,13122.17,546.757083333333
7,2,"P4",25,13439.48,537.5792
7,3,"P4",26,14380.72,553.104615384615
7,4,"P4",140,70972.59,506.947071428571
7,5,"P4",186,93115.29,500.619838709677
7,6,"P4",329,164297.06,499.383161094225
7,7,"P4",26,13774.65,529.794230769231
8,1,"P4",42,22713.94,540.808095238095
8,2,"P4",67,35507.56,529.963582089552
8,3,"P4",56,29063.9,518.998214285714
8,4,"P4",68,34891.86,513.115588235294
8,5,"P4",70,36293.89,518.484142857143
8,6,"P4",76,39301.14,517.120263157895
8,7,"P4",25,13311.77,532.4708
9,1,"P4",377,171049.55,453.712334217507
9,2,"P4",389,176280.71,453.163778920308
9,3,"P4",592,263016.5,444.284628378378
9,4,"P4",1661,713148.64,429.348970499699
9,5,"P4",1362,595335.7,437.104038179148
9,6,"P4",343,176536.68,514.684198250729
9,7,"P4",292,135406.3,463.720205479452
10,1,"P4",64,30706.82,479.7940625
10,2,"P4",175,84824.71,484.712628571429
10,3,"P4",127,60898.99,479.519606299213
10,4,"P4",80,38603.94,482.54925
10,5,"P4",82,40200.19,490.246219512195
10,6,"P4",51,24695.44,484.22431372549
10,7,"P4",91,43571.02,478.802417582418
